;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
A0A090I8K7;20.37959484;8.003964562;3.909280802;2.04742636;0.04061624;0.336164203
A0A090I6W9;47.87043975;-0.871936739;0.435659187;-2.001419378;0.045347214;0.367501381
A0A090I9S3;25.82667142;-2.106144489;1.068502022;-1.971118861;0.048710282;0.386699992
A0A090I564;7.470759588;-6.157498667;3.178331582;-1.937336778;0.052704189;0.410038593
A0A090I3L1;16.85368253;-3.669689364;1.903893542;-1.927465629;0.053921628;0.411284571
A0A089ZED6;17.16763004;-7.356576183;3.909007226;-1.881955125;0.059842109;0.447665006
A0A089ZC90;15.75595033;-7.232460426;3.909208627;-1.850108581;0.064297901;0.471922333
A0A090JTE0;43.95186631;-0.866838788;0.485585204;-1.785142504;0.074238205;0.534790033
A0A090I5W3;35.30194699;-1.242066087;0.832733985;-1.491552056;0.135816615;0.960593877
A0A089Z8Q6;15.37713393;-0.781373713;1.231840128;-0.634314223;0.525875777;0.996629618
A0A089Z979;18.6079703;-0.851182766;1.147714988;-0.741632527;0.458310011;0.996629618
A0A089Z9Y9;17.63860513;0.798217704;3.736019094;0.21365461;0.83081641;0.996629618
A0A089ZA11;20.44879741;0.177433176;1.01578021;0.174676741;0.861333645;0.996629618
A0A089ZA17;23.58972849;-0.671491466;1.179081297;-0.569503959;0.569014185;0.996629618
A0A089ZAI4;66.62033192;0.339209113;0.322723029;1.051084312;0.293219869;0.996629618
A0A089ZAX5;48.68270831;-0.112822566;0.416984266;-0.270567921;0.786723371;0.996629618
A0A089ZB18;22.74059213;-0.139152075;0.935639948;-0.148723956;0.881771457;0.996629618
A0A089ZBS5;15.95311709;-0.318189905;1.209311113;-0.263116663;0.792460661;0.996629618
A0A089ZBS9;48.8617137;-0.339362269;0.43867929;-0.773599931;0.439167413;0.996629618
A0A089ZC51;13.46464464;-0.25858223;1.328514033;-0.194640195;0.845674634;0.996629618
A0A089ZCA7;11.66978451;-1.449902053;1.926871956;-0.752464142;0.451771986;0.996629618
A0A089ZCQ3;36.89519966;0.479679644;0.562910407;0.852142078;0.39413524;0.996629618
A0A089ZCR8;56.33162911;-0.094289161;0.367218482;-0.256765837;0.797359544;0.996629618
A0A089ZCU1;22.52153147;-0.681407292;0.957888705;-0.711363741;0.476858862;0.996629618
A0A089ZDH4;90.73534556;0.062983632;0.271016748;0.232397564;0.816229241;0.996629618
A0A089ZE87;14.59551644;-0.281967376;1.575158396;-0.179008903;0.857930711;0.996629618
A0A089ZER7;31.33091379;0.087425;0.669314164;0.130618781;0.896076885;0.996629618
A0A089ZEV2;52.10118363;0.119598382;0.398626834;0.300025917;0.764157387;0.996629618
A0A089ZEW4;10.51175984;-1.421308452;1.722281414;-0.825247512;0.409231084;0.996629618
A0A089ZF65;17.87470703;-0.105194267;1.111975822;-0.094601218;0.924631582;0.996629618
A0A089ZFA3;16.63711083;-0.272907705;1.434271999;-0.190276116;0.849092768;0.996629618
A0A089ZG02;38.2063127;0.101983924;0.55584585;0.183475192;0.854425183;0.996629618
A0A089ZG23;18.32672929;-0.266082971;1.377524349;-0.193160267;0.846833455;0.996629618
A0A089ZGF2;27.3307502;-0.746034297;0.788791533;-0.945793998;0.344253668;0.996629618
A0A089ZGF4;37.83069943;-1.40248752;2.381129435;-0.589000959;0.555860631;0.996629618
A0A089ZGF5;24.3968049;-0.404062836;0.87883771;-0.45976957;0.645681627;0.996629618
A0A089ZGF9;35.87997604;-0.464503439;0.585811539;-0.792922993;0.42782269;0.996629618
A0A089ZGG4;22.46677631;-0.468642248;0.967208096;-0.484530941;0.628009111;0.996629618
A0A089ZGS2;44.79742846;0.307976837;0.463470832;0.664501012;0.506369701;0.996629618
A0A089ZGX6;39.8807098;0.315327699;0.520707059;0.605576003;0.544796341;0.996629618
A0A089ZGZ1;19.55972349;-0.562830878;1.30594323;-0.430976527;0.666485438;0.996629618
A0A089ZH78;14.45158609;-0.411764855;1.522711458;-0.270415549;0.786840579;0.996629618
A0A089ZH87;15.81102221;-0.517735459;1.239104357;-0.417830392;0.676071128;0.996629618
A0A089ZHN1;17.48285436;-0.086511184;1.137163709;-0.076076279;0.939358412;0.996629618
A0A089ZHU8;17.51133616;0.189867028;1.686741756;0.112564373;0.910375932;0.996629618
A0A089ZI64;22.58631472;0.269419483;0.935602805;0.287963526;0.773374659;0.996629618
A0A089ZIP7;58.65685462;-0.017072914;0.379530501;-0.044984299;0.964119824;0.996629618
A0A089ZJ55;18.23182668;-0.070494879;1.099407448;-0.064120794;0.948874044;0.996629618
A0A089ZUS9;24.23184853;-0.102562121;0.894839136;-0.114615149;0.908750172;0.996629618
A0A089ZUT3;29.00422666;-1.236462852;0.983266673;-1.257505096;0.208570795;0.996629618
A0A089ZV28;19.51166134;-0.223615041;1.066274044;-0.209716294;0.833889107;0.996629618
A0A089ZV33;29.16512657;0.55476908;0.730063914;0.759891113;0.447319674;0.996629618
A0A089ZVL0;42.80220354;0.135471174;0.472896947;0.286470815;0.774517543;0.996629618
A0A089ZVL1;23.15869844;-1.136965667;1.219519022;-0.932306628;0.351178083;0.996629618
A0A089ZVR0;23.51031356;0.114674585;0.904674946;0.126757777;0.899132115;0.996629618
A0A090I0N7;18.99552569;-0.784537811;1.075793199;-0.72926452;0.465839871;0.996629618
A0A090I0T1;29.71555971;-0.193050023;0.715519232;-0.269804101;0.787310968;0.996629618
A0A090I100;32.70119327;0.031859775;0.664036686;0.047978937;0.961733029;0.996629618
A0A090I135;18.05518883;-0.632473665;1.367448184;-0.462521119;0.643707661;0.996629618
A0A090I151;34.94631381;-0.478337254;0.744935968;-0.642118618;0.520796168;0.996629618
A0A090I166;17.57684188;-0.073426325;1.149301726;-0.06388777;0.94905959;0.996629618
A0A090I170;18.30698169;-0.14603715;1.10790721;-0.131813521;0.895131792;0.996629618
A0A090I180;41.28260112;0.228684391;0.508282366;0.449916043;0.652770979;0.996629618
A0A090I192;15.44818508;-0.272159304;1.500074688;-0.181430502;0.856029679;0.996629618
A0A090I1I9;46.85134391;0.109303242;0.46052708;0.237343788;0.812390094;0.996629618
A0A090I1P7;19.12200015;-0.068441543;1.072459846;-0.063817347;0.949115665;0.996629618
A0A090I210;59.23085724;-0.06317251;0.371803502;-0.169908324;0.865082235;0.996629618
A0A090I219;21.53305748;-0.672031965;0.976921244;-0.687908026;0.491510702;0.996629618
A0A090I246;19.84680977;-0.259772608;1.338237291;-0.194115505;0.846085441;0.996629618
A0A090I281;39.55103469;0.063989496;0.526095797;0.121630881;0.903191355;0.996629618
A0A090I298;45.8169291;0.137976724;0.451393922;0.305668103;0.759857362;0.996629618
A0A090I2G3;20.34991677;-0.903354845;1.040704144;-0.868022723;0.385381893;0.996629618
A0A090I2I6;26.35017609;0.585758716;1.122042699;0.522046724;0.601637799;0.996629618
